C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC0978,4,Administraci¢n del Desarrollo Urbano y Ordenamiento Territorial Municipal,Administraci¢n P£blica Municipal,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0979,2,Aplicaci¢n de buenas pr†cticas para el manejo reproductivo en los ovinos,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0980,3,Operaci¢n segura de molinos,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0981,2,Operaci¢n del transporte de carga de veh°culos sin rodar,Industria Automotriz a Nivel Nacional,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0982,2,Despachador de productos alimenticios en mercados municipales,Consejo Estatal Agroalimentario de Guanajuato,"AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0983,2,Responsable del manejo de un negocio en mercado municipal,Consejo Estatal Agroalimentario de Guanajuato,"AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0984,2,Instalaci¢n de paneles de fibrocemento en muros y fachadas de edificaciones arquitect¢nicas en interiores y exteriores,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0985,2,Realizar la instalaci¢n de accesorios para cable en media tensi¢n para l°neas subterr†neas,Asociaci¢n Mexicana de Empresas del Ramo de Instalaciones para la Construcci¢n A.C. (AMERIC),"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0986,2,Adaptaci¢n de auxiliares auditivos,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0987,3,Administraci¢n de sistemas electr¢nicos y de telecomunicaciones,Subsecretar°a de Educaci¢n Media Superior (SEMS),INFORMACI‡N EN MEDIOS MASIVOS
EC0988,2,Aplicaci¢n de materiales en el sector automotriz,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC0989,3,Asistencia a Procesos Gerenciales en las Organizaciones,BenemÇrita Universidad Aut¢noma de Puebla (BUAP),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0990,3,Atenci¢n de grandes cuentas para la compra y venta de productos/servicios de marca,Subsecretar°a de Educaci¢n Media Superior (SEMS),COMERCIO AL POR MAYOR
EC0991,3,Construcci¢n de escenarios digitales para facilitar experiencias de aprendizaje,Universidad del Valle de MÇxico,SERVICIOS EDUCATIVOS
EC0992,4,Coordinaci¢n de los subsistemas educativos en la formaci¢n dual,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC0993,3,Creaci¢n de negocios con una propuesta de valor sostenible,Instituto Tecnol¢gico y de Estudios Superiores de Monterrey (ITESM),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0994,2,Desarrollar los servicios de optometr°a y los productos ¢pticos,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0995,3,Desarrollo de sistemas de informaci¢n inform†ticos,Subsecretar°a de Educaci¢n Media Superior (SEMS),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0996,3,Elaboraci¢n de proyecto de emprendimiento con base en el Modelo de Emprendedores de Educaci¢n Media Superior,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC0997,2,Fabricaci¢n de piezas/elementos mec†nicos mediante m†quinas herramientas.,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC0998,4,Facilitaci¢n de sesiones de coaching en alimentaci¢n,"Servicios TÇcnicos, Educativos y de Apoyo a los negocios","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0999,4,Facilitar procesos de aprendizaje para el desarrollo de competencias en el nivel medio superior,Universidad Aut¢noma de Nuevo Le¢n,SERVICIOS EDUCATIVOS
EC1000,3,Gesti¢n de aprovisionamiento para productos y servicios en empresas del sector privado dentro del territorio nacional,Universidad Abierta y a Distancia de MÇxico,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC1001,3,Gesti¢n del Emprendimiento con base al Modelo de Emprendimiento de Educaci¢n Media Superior,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC1002,3,Gesti¢n de la vinculaci¢n en la formaci¢n dual,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC1003,3,Impartici¢n de cursos para formaci¢n de aprendices calificados,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC1004,2,Implementaci¢n del mantenimiento Industrial peri¢dico,Subsecretar°a de Educaci¢n Media Superior (SEMS),OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1005,2,Instalaci¢n y mantenimiento de sistemas electromec†nicos industriales,Subsecretar°a de Educaci¢n Media Superior (SEMS),OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1006,2,Instalaci¢n y mantenimiento de sistemas mecatr¢nicos industriales,Subsecretar°a de Educaci¢n Media Superior (SEMS),OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1007,1,"Manejo del Abaco JaponÇs Soroban, nivel b†sico","Asociaci¢n Mexicana de Abaco, S.C.","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC1008,3,Manejo de c†maras para producci¢n audiovisual profesional,para el Desarrollo de Competencias Transversales,INFORMACI‡N EN MEDIOS MASIVOS
EC1009,2,Manejo de equipos industriales,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1010,2,Manejo de equipos de troquelado,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1011,2,Manejo de instalaciones elÇctricas avanzadas,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1012,2,Mantenimiento en matricer°a y troquelado,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1013,3,Mantenimiento de sistemas autom†ticos,Subsecretar°a de Educaci¢n Media Superior (SEMS),OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1014,2,Mantenimiento de sistemas automatizados,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1015,3,Mantenimiento de sistemas electr¢nicos,Subsecretar°a de Educaci¢n Media Superior (SEMS),OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1016,2,Operaci¢n de maquinaria para transformaci¢n de termopl†sticos,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1017,2,Operaci¢n del sistema de administraci¢n en las organizaciones productivas y de servicios,Subsecretar°a de Educaci¢n Media Superior (SEMS),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC1018,2,Operaci¢n del sistema de contabilidad en las organizaciones productivas y de servicios,Subsecretar°a de Educaci¢n Media Superior (SEMS),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC1019,2,Prestaci¢n de servicios de gastronom°a con orientaci¢n a la sostenibilidad,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC1020,2,Prestaci¢n del servicio de hoteler°a con orientaci¢n a la sostenibilidad,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC1021,3,Procesamiento industrial de alimentos,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1022,3,Procesamiento de sustancias qu°micas,Subsecretar°a de Educaci¢n Media Superior (SEMS),INDUSTRIAS MANUFACTURERAS
EC1023,2,Realizaci¢n y mantenimiento de instalaciones y sistemas elÇctricos,Subsecretar°a de Educaci¢n Media Superior (SEMS),CONSTRUCCI‡N
