C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC0001,2,Prestaci¢n de servicios de traducci¢n de textos de lengua espa§ola a lengua ind°gena y viceversa en el †mbito de procuraci¢n y administraci¢n de justicia,Atenci¢n de Asuntos Ind°genas,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0002,3,Asistencia primaria de un evento adverso,Administraci¢n P£blica del Gobierno del Estado de Chiapas,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0004,1,Preparaci¢n de ¢rganos para ajuste en banco,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0007,2,Preparaci¢n del diferencial para su mantenimiento,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0008,2,Desarmado del boguie,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0009,2,Asesor°a y suministro de crÇdito en instituciones de ahorro y crÇdito popular,Sector Ahorro y CrÇdito Popular,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0010,2,Prestaci¢n de servicios estÇticos corporales,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0011,2,Elaboraci¢n de documentos mediante un procesador de textos,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0012,2,Elaboraci¢n de presentaciones gr†ficas mediante herramientas de c¢mputo,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0013,2,Elaboraci¢n de libros mediante el uso de procesadores de hojas de c†lculo,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0015,3,Interpretaci¢n oral de lengua ind°gena al espa§ol y viceversa en el †mbito de procuraci¢n y administraci¢n de justicia,Atenci¢n de Asuntos Ind°genas,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0016,2,Atenci¢n a comensales en servicio de especialidades,Industria Restaurantera Nacional,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0017,1,Implementaci¢n de medidas de seguridad en el trabajo y conservaci¢n del medio ambiente en el ingenio azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0018,1,Aplicaci¢n de medidas de seguridad alimentaria y calidad en el ingenio azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0019,3,Tutor°a de cursos de formaci¢n en l°nea,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0020,3,Formulaci¢n del dise§o de proyectos de inversi¢n del sector rural,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0023,2,Monitoreo de los sistemas de geolocalizaci¢n,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0025,3,Promoci¢n de servicios de asistencia social,ComitÇ de Gesti¢n por Competencias de Asistencia Social,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0028,2,Prestaci¢n del servicio de orientaci¢n para la integraci¢n familiar a nivel preventivo,ComitÇ de Gesti¢n por Competencias de Asistencia Social,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0030,2,Recuperaci¢n de los crÇditos otorgados a los socios/usuarios de las instituciones de ahorro y crÇdito popular,Sector Ahorro y CrÇdito Popular,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0031,1,Generaci¢n de Valor Social y Econ¢mico a los Grupos de InterÇs del Ingenio Azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0036,3,Asesor°a para la organizaci¢n vecinal en zonas habitacionales,Instituto del Fondo Nacional de Vivienda para los Trabajadores,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0038,2,Atenci¢n a comensales,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0042,3,Coordinaci¢n de los servicios de alimentos y bebidas,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0043,2,Preparaci¢n de habitaciones para alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0044,3,Coordinaci¢n de los servicios de limpieza de habitaciones y †reas de estancia para alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0045,2,Prestaci¢n del servicio de recepci¢n y atenci¢n al huÇsped para su alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0046,2,Prestaci¢n de servicios cosmetol¢gicos faciales,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0047,3,Supervisi¢n de las condiciones de registro y estancia del huÇsped,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0049,3,"Dise§o de cursos de capacitaci¢n presenciales, sus instrumentos de evaluaci¢n y material did†ctico",Asociaci¢n Mexicana de Capacitaci¢n de Personal y Empresarial A.C. (AMECAP),SERVICIOS EDUCATIVOS
EC0050,3,Dise§o de cursos de capacitaci¢n para ser impartidos mediante Internet,Asociaci¢n Mexicana de Capacitaci¢n de Personal y Empresarial A.C. (AMECAP),SERVICIOS EDUCATIVOS
EC0051,4,Inspecci¢n de obra p£blica federal,Auditor°a a Obra P£blica,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0052,3,Pr†ctica de examen de refracci¢n,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0053,3,Adaptaci¢n de lentes de contacto,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0054,2,Venta de productos ¢pticos,SECTOR ‡PTICO,COMERCIO AL POR MENOR
EC0056,2,Biselado y montaje de lentes oft†lmicas graduadas,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0058,4,Adiestramiento de perros en el nivel b†sico de obediencia,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0059,2,Conducci¢n de perros de seguridad,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0060,2,Vigilancia presencial de bienes y personas,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0061,4,Coordinaci¢n de servicios de vigilancia de bienes y personas,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0062,5,Consultor°a en sistemas de gesti¢n de la seguridad,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0063,2,Custodia de mercanc°as en movimiento,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0065,2,Instalaci¢n del sistema de calentamiento solar de agua,Asociaci¢n Mexicana de Empresas del Ramo de Instalaciones para la Construcci¢n A.C. (AMERIC),CONSTRUCCI‡N
EC0067,4,Coordinaci¢n de acciones para el desarrollo rural sustentable municipal,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0068,1,Cosecha de hortalizas,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0069,3,Consultor°a a empresas rurales,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0070,3,Coordinaci¢n de acciones para la puesta en marcha de proyectos de inversi¢n del sector rural,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0072,2,Atenci¢n in situ al visitante durante recorridos tur°sticos,Servicios Tur°sticos en Aguascalientes,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0074,3,Coordinaci¢n de grupos tÇcnicos de expertos para el desarrollo del Est†ndar de Competencia,Consejo Nacional de Normalizaci¢n y Certificaci¢n de Competencias Laborales (CONOCER),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0076,3,Evaluaci¢n de la competencia de candidatos con base en Est†ndares de Competencia,Consejo Nacional de Normalizaci¢n y Certificaci¢n de Competencias Laborales (CONOCER),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0079,2,Atenci¢n en su lengua materna a poblaci¢n hablante de lenguas ind°genas en programas sociales,Atenci¢n de Asuntos Ind°genas,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0081,2,Manejo higiÇnico de los alimentos,Turismo / Industria Restaurantera Nacional,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0083.01,2,Asesor°a en materia hipotecaria por v°a judicial,Cobranza Social,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0084,2,Uso did†ctico de las tecnolog°as de informaci¢n y comunicaci¢n en procesos de aprendizaje: nivel b†sico,Con fines de Evaluaci¢n y Certificaci¢n para Educaci¢n B†sica,SERVICIOS EDUCATIVOS
EC0087,4,Aplicaci¢n de pruebas poligr†ficas,Sector Seguridad Privada,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0089,3,Planificaci¢n del control de inventarios de productos,Para la Log°stica y la Cadena de Suministros en MÇxico,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0091,3,Verificaci¢n externa de la operaci¢n de los Centros de Evaluaci¢n y Evaluadores Independientes,Consejo Nacional de Normalizaci¢n y Certificaci¢n de Competencias Laborales (CONOCER),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0093,1,Cosecha de c°tricos,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0094,2,"Venta de productos, mercanc°as y servicios de manera personalizada en piso",Comercio,COMERCIO AL POR MENOR
EC0095,2,Almacenamiento de mercanc°as en establecimientos,Comercio,COMERCIO AL POR MENOR
EC0096,2,"Registro y cobro de productos, mercanc°as y servicios en establecimientos",Comercio,COMERCIO AL POR MENOR
EC0098,2,Producci¢n de pan bizcocho en tiendas de autoservicio,Comercio,COMERCIO AL POR MAYOR
EC0104,3,Ventas consultivas,COMEX,COMERCIO AL POR MAYOR
EC0105,2,Atenci¢n al ciudadano en el sector p£blico,Administraci¢n P£blica del Municipio de Monterrey,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0107,2,Manejo de procesador de textos digitales,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0108,2,Manejo del procesador de hojas de c†lculo digitales,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0109,2,Manejo de procesadores de presentaciones digitales,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0110.01,3,Asesor°a en comercializaci¢n de bienes inmuebles,"Asociaci¢n Mexicana de Profesionales Inmobiliarios, A.C.",SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES
EC0112,3,Administraci¢n de inmuebles en condominio,"Asociaci¢n Mexicana de Profesionales Inmobiliarios, A.C.",SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES
EC0113,2,Prestaci¢n de servicios digitales del promotor en un centro comunitario digital,Sociedad de la Informaci¢n y el Conocimiento,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0114,2,Obtenci¢n de cortes de carne y aves en tiendas de autoservicio.,Comercio,COMERCIO AL POR MENOR
EC0116,2,Dispensaci¢n y manejo de medicamentos en farmacias,Comercio,COMERCIO AL POR MENOR
EC0118,2,Realizaci¢n de instalaciones elÇctricas en edificaci¢n de vivienda,Asociaci¢n Mexicana de Empresas del Ramo de Instalaciones para la Construcci¢n A.C. (AMERIC),CONSTRUCCI‡N
EC0120.01,3,Promoci¢n de la lectura,"C†mara Nacional de la Industria Editorial Mexicana, CANIEM",INFORMACI‡N EN MEDIOS MASIVOS
EC0121.01,3,Elaboraci¢n de proyectos de aprendizaje integrando el uso de las tecnolog°as de la informaci¢n y la comunicaci¢n,Tecnolog°as de la Informaci¢n y la Comunicaci¢n para la Educaci¢n del ILCE,SERVICIOS EDUCATIVOS
EC0126,2,Limpieza de cocinas industriales,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0127,2,Preparaci¢n de alimentos,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0128,2,Preparaci¢n y servicio de bebidas,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0129,2,Supervisi¢n de la operaci¢n del fondo de aseguramiento agropecuario,Fondos de Aseguramiento Agropecuario,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0130,4,Operaci¢n de fondos de aseguramiento agr°cola,Fondos de Aseguramiento Agropecuario,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0135,2,Manejo y Dispensaci¢n de medicamentos e Insumos para la Salud en Farmacias,Asociaci¢n Nacional de Farmacias de MÇxico,COMERCIO AL POR MENOR
EC0136,2,Manejo y Dispensaci¢n de Medicamentos Antibi¢ticos en Farmacias,Asociaci¢n Nacional de Farmacias de MÇxico,COMERCIO AL POR MENOR
EC0137,2,Asesor°a a la comunidad sobre participaci¢n comunitaria en el espacio p£blico,Desarrollo Social en Espacios P£blicos,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0138,2,Envasado de conservas alimenticias,Conservas Alimenticias,INDUSTRIAS MANUFACTURERAS
EC0140,1,Cuantificaci¢n del consumo de agua potable con medici¢n,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0141,3,Conservaci¢n del funcionamiento operativo de la red de alcantarillado,Sector H°drico,CONSTRUCCI‡N
EC0143,2,Aplicaci¢n de Masaje Shiatsu,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0145,2,Conservaci¢n de la red de agua potable,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0146,2,"Prestaci¢n de servicios de manejo integrado de plagas urbanas, nivel Intermedio","Controladores de Plagas / Asociaci¢n Nacional de Controladores de Plagas Urbanas, A.C.","SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0147,2,Armado del Puente Diferencial,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0149,1,Operaci¢n de veh°culo oficial para transporte de personal,Sector H°drico,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0150,4,Coordinaci¢n de procesos en Gesti¢n Educativa EstratÇgica en Centros Escolares de Educaci¢n B†sica,Gesti¢n e Innovaci¢n Educativa de la Educaci¢n B†sica,SERVICIOS EDUCATIVOS
EC0153,2,Atenci¢n a usuarios en la solicitud de servicios en entidades administradoras de agua,Sector H°drico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0154,2,Prestaci¢n de los servicios de limpieza,Sector H°drico,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0155,4,Dirigir el Consejo de Administraci¢n de una sociedad cooperativa de los sectores agropecuario o pesquero,"Sociedades Cooperativas ""Polos de Desarrollo Regional""",OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0156,1,Manejo b†sico del equipo de c¢mputo,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0157,2,Manejo de Internet y correo electr¢nico,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0160,2,Desarrollo de c¢digo de software,Tecnolog°as de la Informaci¢n y Comunicaciones,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0162,4,Aplicaci¢n de la evaluaci¢n poligr†fica de control de confianza,Guardia Nacional,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0174,2,Construcci¢n de dispositivos excluidores de tortugas marinas,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0175,2,Operaci¢n del dispositivo excluidor de tortugas marinas en redes de arrastre camaroneras,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0176,4,Implementaci¢n del Acuerdo por el que se emiten las Disposiciones en Materia de Control Interno y se expide el Manual Administrativo de Aplicaci¢n General en Materia de Control Interno en la Administraci¢n P£blica Federal,Control Interno de la Administraci¢n P£blica Federal,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0179,4,Asesor°a en caso de secuestro/extorsi¢n,Guardia Nacional,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0180,2,Promoci¢n de cultura del agua,Sector H°drico,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0182,2,Representaci¢n de afiliados en su relaci¢n con el patr¢n,Federaci¢n Nacional de Sindicatos Independientes,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0183,2,Prestaci¢n del servicio al cliente del negocio spa,Masajes y Servicios de SPA,"SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS, Y OTROS SERVICIOS RECREATIVOS"
EC0184,2,Operaci¢n de lavander°a industrial,Servicios Turisticos en Bah°a de Banderas,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0185,3,Impartici¢n de acciones de capacitaci¢n presencial con enfoque incluyente,Inclusi¢n Laboral,SERVICIOS EDUCATIVOS
EC0186,4,Gesti¢n del negocio spa,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0189,3,Administraci¢n de actividades de capacitaci¢n en l°nea en los centros de trabajo,Inclusi¢n Laboral,SERVICIOS EDUCATIVOS
EC0190,1,"Manejo de aplicaciones e informaci¢n en equipo de c¢mputo, nivel b†sico",Inclusi¢n Laboral,INFORMACI‡N EN MEDIOS MASIVOS
EC0192,3,Supervisi¢n de obra en infraestructura carretera,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0193,2,Prestaci¢n de servicios de cortes de cabello,C†mara Mexicana de la Industria del Embellecimiento F°sico,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0195,3,Reparaci¢n de cables de energ°a monopolares de 15 y 23 kv de mediana tensi¢n de la red elÇctrica,Sistema de Transporte Colectivo,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0196,2,Promoci¢n de los programas p£blicos de salud en la poblaci¢n hablante de lengua ind°gena,Atenci¢n de Asuntos Ind°genas,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0197,1,Cosecha de ca§a,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0200,2,Operaci¢n de Montacargas Horizontal,Para la Log°stica y la Cadena de Suministros en MÇxico / De la C†mara Mexicana de la Industria de la Construcci¢n,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0201,2,Operaci¢n de la gr£a viajera,Gr£as y Dispositivos para Elevaci¢n e Izaje.,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0202,2,Operaci¢n de la gr£a hidr†ulica m¢vil telesc¢pica sobre neum†ticos tipo sobre cami¢n en instalaciones petroleras,Maniobras e Intervenciones Terrestres con Equipo de Levante del Estado de Tabasco,MINER÷A
EC0203,2,Operaci¢n de la gr£a hidr†ulica m¢vil telesc¢pica sobre neum†ticos tipo todo terreno convencional en instalaciones petroleras,Maniobras e Intervenciones Terrestres con Equipo de Levante del Estado de Tabasco,MINER÷A
EC0204,4,Ejecuci¢n de sesiones de coaching,Servicios de Coaching,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0205,2,Conducci¢n de pr†ctica de yoga: nivel preparador b†sico,Masajes y Servicios de SPA,SERVICIOS EDUCATIVOS
EC0206,3,Coordinaci¢n de grupos de trabajo de l°nea,Servicios Turisticos en Bah°a de Banderas,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0208,3,Conservaci¢n de la red de alcantarillado mediante veh°culo de desazolve,Sector H°drico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0209,2,Operaci¢n de plantas potabilizadoras,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0210,2,Tratamiento de aguas residuales con tanque Imhoff,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0211,2,Prestaci¢n de servicios para modificar la coloraci¢n del cabello,C†mara Mexicana de la Industria del Embellecimiento F°sico,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0213,2,Monitoreo de sistemas de videovigilancia,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0214,2,Tratamiento de aguas residuales con lodos activados,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0215,1,Mantenimiento correctivo a instalaciones elÇctricas industriales,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0216,2,Tratamiento de aguas residuales con lagunas de estabilizaci¢n,Sector H°drico,"GENERACI‡N, TRANSMISI‡N, DISTRIBUCI‡N Y COMERCIALIZACI‡N DE ENERG÷A ELêCTRICA, SUMINISTRO DE AGUA Y DE GAS NATURAL POR DUCTOS AL CONSUMIDOR FINAL"
EC0217.01,3,Impartici¢n de cursos de formaci¢n del capital humano de manera presencial grupal,Asociaci¢n Mexicana de Capacitaci¢n de Personal y Empresarial A.C. (AMECAP),SERVICIOS EDUCATIVOS
EC0218,3,Administraci¢n de Estaci¢n de Servicio de la Franquicia PEMEX,Franquicia PEMEX,COMERCIO AL POR MENOR
EC0219,3,An†lisis de Precios Unitarios,C†mara Mexicana de la Industria de la Construcci¢n,CONSTRUCCI‡N
EC0220,2,Apoyo a la incorporaci¢n y desarrollo de las figuras solidarias e institucionales en lengua ind°gena y espa§ol como segunda lengua,Atenci¢n de Asuntos Ind°genas,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0222,3,"Asesor°a, asistencia tÇcnica y capacitaci¢n en el sistema bovino de doble prop¢sito","Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
