E2590|EC0829|Codificar los comandos y datos de controladores lógicos programables.
E2591|EC0829|Diagnosticar el estado de los componentes de fuerza y actuadores en sistemas mecatrónicos.
E2592|EC0829|Codificar los comandos y datos en microcontroladores.
#
E2604|EC0835|Desarrollar software utilizando codificación de comandos y datos orientada a objetos.
E2605|EC0835|Desarrollar bases de datos avanzadas
E0603|EC0160|Desarrollo de código de software
E0604|EC0160|Realizar pruebas unitarias 
