1|E2590|1|Diseña programas aplicados a sistemas mecatrónicos:
2|E2591|2|Evalúa la operación de los actuadores en sistemas automatizados
3|E2591|2|Evalúa la operación de los componentes de fuerza en sistemas automatizados
